image_name,damage,occlusion,crop
Co Rd 246/img/000_31.471559_-97.717786.png,0,0,0
Co Rd 246/img/001_31.471521_-97.717580.png,0,0,0
Co Rd 246/img/002_31.471485_-97.717374.png,0,0,0
Co Rd 246/img/003_31.471448_-97.717168.png,1,0,0
Co Rd 246/img/004_31.471413_-97.716961.png,0,0,0
Co Rd 246/img/005_31.471377_-97.716755.png,0,0,0
Co Rd 246/img/006_31.471342_-97.716549.png,0,0,0
Co Rd 246/img/007_31.471306_-97.716342.png,0,0,0
Co Rd 246/img/008_31.471271_-97.716136.png,1,0,0
Co Rd 246/img/009_31.471236_-97.715929.png,0,0,0
Co Rd 246/img/010_31.471203_-97.715722.png,0,1,0
Co Rd 246/img/011_31.471179_-97.715514.png,0,0,0
Co Rd 246/img/012_31.471173_-97.715303.png,0,0,0
Co Rd 246/img/013_31.471188_-97.715094.png,0,0,0
Co Rd 246/img/014_31.471220_-97.714887.png,0,0,1
Co Rd 246/img/015_31.471259_-97.714681.png,0,0,0
Co Rd 246/img/016_31.471317_-97.714482.png,0,0,0
Co Rd 246/img/017_31.471384_-97.714287.png,1,0,0
Co Rd 246/img/018_31.471464_-97.714098.png,0,0,0
Co Rd 246/img/019_31.471557_-97.713918.png,0,0,0
Co Rd 246/img/020_31.471663_-97.713748.png,0,0,0
Co Rd 246/img/021_31.471780_-97.713588.png,1,0,0
Co Rd 246/img/022_31.471904_-97.713435.png,0,0,0
Co Rd 246/img/023_31.472031_-97.713286.png,0,0,0
Co Rd 246/img/024_31.472161_-97.713139.png,0,0,0
Co Rd 246/img/025_31.472290_-97.712993.png,1,0,0
Co Rd 246/img/026_31.472419_-97.712846.png,0,0,0
Co Rd 246/img/027_31.472549_-97.712699.png,0,0,0
Co Rd 246/img/028_31.472678_-97.712553.png,1,0,0
Co Rd 246/img/029_31.472808_-97.712406.png,0,0,0
Co Rd 246/img/030_31.472937_-97.712259.png,0,0,0
Co Rd 246/img/031_31.473066_-97.712112.png,1,0,0
Co Rd 246/img/032_31.473196_-97.711966.png,0,0,0
Co Rd 246/img/033_31.473325_-97.711819.png,0,0,0
Co Rd 246/img/034_31.473455_-97.711672.png,0,0,0
Co Rd 246/img/035_31.473584_-97.711526.png,0,0,0
Co Rd 246/img/036_31.473713_-97.711379.png,0,0,0
Co Rd 246/img/037_31.473843_-97.711232.png,0,0,0
Co Rd 246/img/038_31.473972_-97.711085.png,0,0,0
Co Rd 246/img/039_31.474102_-97.710939.png,0,0,0
Co Rd 246/img/040_31.474232_-97.710793.png,0,0,0
Co Rd 246/img/041_31.474363_-97.710648.png,0,0,0
Co Rd 246/img/042_31.474494_-97.710503.png,0,0,0
Co Rd 246/img/043_31.474624_-97.710358.png,0,0,1
Co Rd 246/img/044_31.474753_-97.710210.png,1,0,0
Co Rd 246/img/045_31.474882_-97.710063.png,0,0,0
Co Rd 246/img/046_31.475010_-97.709916.png,0,0,0
Co Rd 246/img/047_31.475139_-97.709768.png,0,0,0
Co Rd 246/img/048_31.475268_-97.709621.png,0,1,0
Co Rd 246/img/049_31.475397_-97.709473.png,0,1,0
Co Rd 246/img/050_31.475525_-97.709326.png,0,0,0
Co Rd 246/img/051_31.475645_-97.709168.png,0,0,0
Co Rd 246/img/052_31.475753_-97.708999.png,0,0,0
Co Rd 246/img/053_31.475856_-97.708827.png,0,0,0
Co Rd 246/img/054_31.475947_-97.708645.png,0,0,0
Co Rd 246/img/055_31.476038_-97.708464.png,0,0,0
Co Rd 246/img/056_31.476127_-97.708280.png,0,0,0
Co Rd 246/img/057_31.476198_-97.708087.png,0,0,0
Co Rd 246/img/058_31.476260_-97.707889.png,0,0,0
Co Rd 246/img/059_31.476321_-97.707691.png,0,0,0
Co Rd 246/img/060_31.476378_-97.707492.png,0,0,0
Co Rd 246/img/061_31.476418_-97.707286.png,0,0,0
Co Rd 246/img/062_31.476452_-97.707080.png,0,0,0
Co Rd 246/img/063_31.476479_-97.706872.png,0,0,1
Co Rd 246/img/064_31.476500_-97.706663.png,0,0,1
Co Rd 246/img/065_31.476509_-97.706453.png,0,0,0
Co Rd 246/img/066_31.476519_-97.706242.png,0,0,0
Co Rd 246/img/067_31.476524_-97.706032.png,0,0,0
Co Rd 246/img/068_31.476522_-97.705822.png,0,0,0
Co Rd 246/img/069_31.476520_-97.705611.png,0,0,0
Co Rd 246/img/070_31.476518_-97.705401.png,0,0,0
